stop_id,stop_code,stop_name,stop_lat,stop_lon,Routes,Direction,Accessibility,Type
662,662,Danforth Rd at Kennedy Rd,43.714379,-79.260939,300,Eastbound,1,Bus
929,929,Davenport Rd at Bedford Rd,43.674448,-79.399659,19,Northbound,1,Bus
940,940,Davenport Rd at Dupont St,43.675511,-79.401938,19,Northbound,2,Bus
1871,1871,Davisville Ave at Cleveland St,43.702088,-79.378112,11 | 28,Northbound,1,Bus
11700,11700,Disco Rd at Attwell Dr,43.701362,-79.594843,112,Northbound,1,Bus
3478,3478,Disco Rd at Attwell Dr,43.701043,-79.595806,45,Southbound,1,Bus
3479,3479,Disco Rd at Carlingview Dr East Side,43.69981,-79.600769,45,Southbound,1,Bus
3480,3480,Disco Rd at Carlingview Dr,43.699929,-79.601176,45,Northbound,1,Bus
14258,14258,Don Mills Rd at Eglinton Ave East,43.720674,-79.339121,25 | 325 | 354 | 403 | 925,Southbound,1,Bus
9125,9125,Don Mills Rd at Eglinton Ave East North Side,43.721373,-79.338926,100 | 25 | 325 | 34 | 354 | 403 | 925,Northbound,1,Bus
14255,14255,Don Mills Rd at Lawrence Ave East South Side,43.736625,-79.343442,191 | 354,Southbound,1,Bus
1950,1950,Don Mills Rd at Leith Hill Rd,43.777291,-79.348163,25 | 325,Southbound,1,Bus
1974,1974,Don Mills Rd at Steeles Ave East,43.81104,-79.360513,25 | 325 | 925,Northbound,1,Bus
1975,1975,Don Mills Rd at Van Horne Ave,43.787246,-79.352783,25 | 325 | 925,Northbound,1,Bus
1977,1977,Don Mills Rd at Wynford Dr,43.722851,-79.339326,25 | 325 | 354 | 403,Northbound,1,Bus
5006,5006,Doncaster Ave at Main St West Side,43.691659,-79.303796,62,Westbound,1,Bus
5007,5007,Doncaster Ave at Main St,43.691607,-79.303525,62,Eastbound,1,Bus
5008,5008,Doncaster Ave at Main St,43.691816,-79.303103,87,Eastbound,1,Bus
9288,9288,Drewry Ave at Gardenia Crt,43.78388,-79.431676,125,Eastbound,1,Bus
9275,9275,Drewry Ave at Grantbrook St,43.783607,-79.433593,125,Westbound,1,Bus
979,979,Dufferin St at Yorkdale Rd,43.726531,-79.457356,29 | 329 | 47,Northbound,1,Bus
9991,9991,Dufferin St at Springhurst Ave,43.634831,-79.425646,29 | 329,Northbound,1,Bus
985,985,Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre,43.725083,-79.456993,29 | 329 | 47 | 929,Northbound,1,Bus
11630,11630,Dufferin Mall,43.655795,-79.434031,402,Northbound,1,Bus
9856,9856,Dundas St West at Bloor St West,43.656442,-79.452572,304 | 305 | 402 | 504,Southbound,2,Streetcar
9942,9942,Dundas St West at Jane St East Side,43.665583,-79.490433,340,Westbound,2,Bus
9943,9943,Dundas St West at Jane St West Side,43.66578,-79.492146,40 | 55,Northbound,2,Bus
4455,4455,Dundas St West at Runnymede Rd West Side,43.66565,-79.482921,340 | 40,Eastbound,1,Bus
13702,13702,Dundas St West at Dundas West Outer Platform,43.656768,-79.453253,505,Westbound,2,Streetcar
13898,13898,Duplex Ave at Eglinton Ave West,43.70623,-79.400108,103 | 334 | 34 | 354 | 51 | 54 | 56 | 74,Northbound,2,Bus
11651,11651,East York Town Centre,43.705908,-79.347132,403,Northbound,2,Bus
11181,11181,Eastern Ave at Queen St East South Side,43.666788,-79.312738,22 | 31 | 322,Northbound,1,Bus
